example,label,explanation
"How do I reset a forgotten passcode, please?",passcode_forgotten,"The input example mentions a forgotten passcode, which indicates that the customer is experiencing an issue related to their passcode. This aligns with the category ""passcode_forgotten"" as it specifically addresses the situation where a customer has forgotten their passcode and needs assistance in resetting it. Therefore, the output ""passcode_forgotten"" is correct for this input example. So, the answer is passcode_forgotten."
"new customer and filling gas today, it's not working, the thing shows pending half an hour!",pending_top_up,"The output is ""pending_top_up"" because the customer's complaint mentions that they are a new customer and they are trying to fill gas today. However, the transaction is not working and it has been pending for half an hour. This indicates that the customer is experiencing an issue with their top-up transaction, which is causing a delay in the payment being processed. Therefore, the complaint falls under the category of ""pending_top_up"". So, the answer is pending_top_up."
What countries are supported?,country_support,"The input question ""What countries are supported?"" is asking about the countries that are supported by the bank. This falls under the category of ""country_support"" because it is a query related to the bank's support for different countries. The customer is seeking information about the countries where the bank's services are available. So, the answer is country_support."
What do you charge for physical cards?,order_physical_card,"The input query is asking about the cost or charges associated with physical cards. This falls under the category of ""order_physical_card"" because the customer is inquiring about the fees or charges related to ordering a physical card. This category specifically deals with queries related to the process, cost, or any other concerns regarding ordering a physical card. So, the answer is ""order_physical_card""."
Can you please make my top up go through as soon as possible. I really need the money and it has been pending for an hour already.,pending_top_up,"The output is correct because the customer's complaint is related to a pending top-up. The customer states that their top-up has been pending for an hour and they need the money urgently. This indicates that the customer is experiencing a delay in the processing of their top-up, resulting in a pending status. Therefore, the correct category for this input is ""pending_top_up"". So, the answer is pending_top_up."
"I need a card, but I'm in the US at the moment.",country_support,"The output is correct because the customer's query indicates that they are in the US and they need a card. The category ""country_support"" specifically addresses queries related to whether the bank supports a particular country or not. In this case, the customer is inquiring about the bank's support for the US, which falls under the category of ""country_support"". So, the answer is country_support."
"I received cash from the ATM earlier, but this shows up as pending in the app.  I've got the cash already.  How can this be still pending?",pending_cash_withdrawal,"The output is correct because the customer's complaint is related to a cash withdrawal from an ATM that is still showing as pending in the app. The customer mentions that they have already received the cash, indicating that the withdrawal was successful. However, the fact that it is still pending in the app suggests that there might be a delay or an issue with the system updating the transaction status. This aligns with the category ""pending_cash_withdrawal,"" which specifically addresses situations where a cash withdrawal is still pending in the app despite the customer having received the cash. So, the answer is pending_cash_withdrawal."
How long will it take for the transfer to reach my account?,transfer_timing,"The input example is asking about the timing of a transfer reaching the customer's account. This falls under the category of ""transfer_timing"" because it is a query related to the timing or duration of a transfer. The customer is specifically asking about how long it will take for the transfer to reach their account. So, the answer is transfer_timing."
I didn't receive the right amount of cash back,wrong_amount_of_cash_received,"The input example mentions that the person did not receive the right amount of cash back. This indicates that there was an issue with the cash withdrawal transaction. The category ""wrong_amount_of_cash_received"" specifically addresses complaints or queries related to receiving an incorrect amount of cash during a withdrawal. Therefore, based on the input example, the correct category for this query is ""wrong_amount_of_cash_received"". So, the answer is wrong_amount_of_cash_received."
I have paid by my card but payment is still its coming as pending. I think there is some issue please check and let me know when the status will complete.,pending_card_payment,"The output is correct because the customer's complaint indicates that they have made a payment using their card, but the payment is still pending. This aligns with the category ""pending_card_payment"" as the customer is specifically mentioning that their payment is in a pending status. So, the answer is pending_card_payment."
I made a payment but the app reverted the payment.,reverted_card_payment?,"The input example states that the user made a payment but the app reverted the payment. This indicates that the user experienced an issue with a payment made through the app. The category ""reverted_card_payment?"" is the most appropriate classification for this issue because it specifically refers to cases where a payment made with a card is reversed or cancelled. So, the answer is reverted_card_payment?."
Oh no!  I lost my card!  Help!,lost_or_stolen_card,"The input example ""Oh no! I lost my card! Help!"" indicates that the customer has lost their card. This falls under the category of ""lost_or_stolen_card"" because the customer is reporting the loss of their card and seeking assistance. So, the answer is lost_or_stolen_card."
